Ship Date,Month,Year,Ship Mode,Area,Region,Category,Sub-Category,Sold,Profit
2015-04-22,April,2015,Standard Class,Papua,Central,Office Supplies,Labels,80,424100
2015-04-22,April,2015,Standard Class,Sulawesi,Central,Furniture,Furnishings,10,35500
2015-04-22,April,2015,Standard Class,Kalimantan,Central,Furniture,Chairs,90,205200
2016-12-17,Desember,2016,Standard Class,Jawa,East,Office Supplies,Fasteners,20,75100
2016-12-17,Desember,2016,Standard Class,Sumatra,East,Technology,Phones,1030,3584300
2016-06-18,Juni,2016,First Class,Bali,East,Office Supplies,Storage,210,625700
2016-06-18,Juni,2016,First Class,Papua,East,Office Supplies,Paper,40,186700
2016-06-18,Juni,2016,First Class,Sulawesi,East,Furniture,Chairs,320,85200
2016-06-18,Juni,2016,First Class,Kalimantan,East,Office Supplies,Paper,20,83900
2016-06-18,Juni,2016,First Class,Kalimantan,East,Technology,Accessories,30,39600
2016-06-18,Juni,2016,First Class,Jawa,East,Office Supplies,Binders,50,196400
2016-06-18,Juni,2016,First Class,Sumatra,East,Office Supplies,Art,10,10100
2015-11-30,November,2015,Standard Class,Bali,West,Technology,Accessories,20,73900
2015-11-30,November,2015,Standard Class,Papua,West,Office Supplies,Binders,30,112400
2015-11-30,November,2015,Standard Class,Sulawesi,West,Office Supplies,Paper,150,827600
2015-11-30,November,2015,Standard Class,Kalimantan,West,Furniture,Furnishings,80,268000
2014-12-10,Desember,2014,Standard Class,Jawa,West,Office Supplies,Art,1120,1335700
2014-12-10,Desember,2014,Standard Class,Sumatra,West,Technology,Phones,170,755900
2016-06-06,Juni,2016,First Class,Bali,South,Office Supplies,Paper,80,428000
2016-09-23,September,2016,Standard Class,Papua,East,Office Supplies,Binders,10,20800
2017-09-17,September,2017,Second Class,Sulawesi,Central,Office Supplies,Paper,20,105200
2015-05-02,Mei,2015,Standard Class,Kalimantan,South,Furniture,Furnishings,100,14600
2017-12-11,Desember,2017,First Class,Jawa,Central,Office Supplies,Storage,30,32700
2016-06-15,Juni,2016,First Class,Sumatra,South,Office Supplies,Appliances,210,674500
2016-06-15,Juni,2016,First Class,Bali,South,Office Supplies,Binders,20,96500
2014-10-16,Oktober,2014,Standard Class,Papua,West,Office Supplies,Art,20,50100
2014-10-16,Oktober,2014,Standard Class,Sulawesi,West,Office Supplies,Storage,30,74500
2015-09-08,September,2015,Standard Class,Kalimantan,South,Office Supplies,Envelopes,210,753700
2017-05-30,Mei,2017,Second Class,Papua,South,Furniture,Chairs,310,398600
2017-11-02,November,2017,Standard Class,Sulawesi,Central,Technology,Accessories,20,81600
2017-11-02,November,2017,Standard Class,Kalimantan,Central,Office Supplies,Labels,10,35500
2016-04-10,April,2016,Second Class,Jawa,Central,Office Supplies,Storage,160,166300
2016-09-22,September,2016,Standard Class,Sumatra,West,Office Supplies,Art,30,79600
2016-09-22,September,2016,Standard Class,Bali,West,Technology,Phones,80,99400
2016-09-22,September,2016,Standard Class,Papua,West,Office Supplies,Paper,10,37400
2015-02-05,Februari,2015,Second Class,Sulawesi,Central,Office Supplies,Paper,20,74700
2015-02-05,Februari,2015,Second Class,Kalimantan,Central,Furniture,Furnishings,60,198500
2015-02-05,Februari,2015,Second Class,Kalimantan,Central,Office Supplies,Binders,40,193900
2017-11-11,November,2017,Second Class,Jawa,East,Furniture,Furnishings,100,486600
2017-06-20,Juni,2017,First Class,Sumatra,West,Office Supplies,Binders,60,215600
2016-09-11,September,2016,Standard Class,Bali,Central,Office Supplies,Appliances,80,271100
2016-09-02,September,2016,Standard Class,Papua,Central,Office Supplies,Paper,70,271500
2016-12-04,Desember,2016,Second Class,Sulawesi,Central,Office Supplies,Paper,30,140700
2017-11-28,November,2017,Standard Class,Kalimantan,South,Technology,Accessories,80,211300
2017-11-28,November,2017,Standard Class,Jawa,South,Technology,Phones,30,25200
2017-11-28,November,2017,Standard Class,Sumatra,South,Office Supplies,Art,10,12900
2015-10-20,Oktober,2015,Standard Class,Bali,Central,Technology,Accessories,340,816000
2017-12-30,Desember,2017,Standard Class,Papua,East,Furniture,Furnishings,50,131000
2016-11-10,November,2016,Standard Class,Sulawesi,Central,Office Supplies,Art,80,273500
2016-11-10,November,2016,Standard Class,Kalimantan,Central,Office Supplies,Binders,30,160200
2014-08-27,Agustus,2014,Second Class,Jawa,East,Office Supplies,Fasteners,50,174500
2014-08-27,Agustus,2014,Second Class,Sumatra,East,Office Supplies,Envelopes,10,19900
2014-08-27,Agustus,2014,Second Class,Bali,East,Office Supplies,Paper,30,90000
2014-08-27,Agustus,2014,Second Class,Papua,East,Office Supplies,Envelopes,140,528400
2015-03-06,Maret,2015,Standard Class,Sulawesi,West,Furniture,Tables,790,1984600
2016-06-15,Juni,2016,First Class,Kalimantan,East,Furniture,Furnishings,50,220200
2016-06-15,Juni,2016,First Class,Papua,East,Office Supplies,Binders,40,166600
2016-06-15,Juni,2016,First Class,Sulawesi,East,Office Supplies,Storage,230,761300
2016-06-15,Juni,2016,First Class,Kalimantan,East,Office Supplies,Envelopes,120,621200
2016-06-15,Juni,2016,First Class,Jawa,East,Technology,Phones,70,236800
2017-11-12,November,2017,Standard Class,Sumatra,West,Office Supplies,Storage,250,366000
2016-11-10,November,2016,Second Class,Bali,West,Furniture,Furnishings,240,314900
2017-02-05,Februari,2017,First Class,Papua,East,Office Supplies,Paper,80,352400
2017-02-05,Februari,2017,First Class,Sulawesi,East,Office Supplies,Fasteners,30,83700
2016-10-19,Oktober,2016,Standard Class,Kalimantan,West,Office Supplies,Paper,30,115500
2016-10-19,Oktober,2016,Standard Class,Kalimantan,West,Office Supplies,Paper,40,199900
2016-10-19,Oktober,2016,Standard Class,Jawa,West,Office Supplies,Art,20,41500
2016-10-19,Oktober,2016,Standard Class,Sumatra,West,Office Supplies,Fasteners,10,23700
2016-10-19,Oktober,2016,Standard Class,Bali,West,Office Supplies,Binders,80,320000
2016-10-19,Oktober,2016,Standard Class,Papua,West,Office Supplies,Supplies,70,221400
2016-10-19,Oktober,2016,Standard Class,Sulawesi,West,Furniture,Furnishings,50,248400
2016-09-07,September,2016,Second Class,Kalimantan,East,Furniture,Furnishings,90,124200
2017-09-23,September,2017,Standard Class,Jawa,West,Office Supplies,Art,10,28600
2017-09-23,September,2017,Standard Class,Sumatra,West,Office Supplies,Envelopes,20,61300
2017-09-23,September,2017,Standard Class,Bali,West,Office Supplies,Paper,150,827800
2017-12-27,Desember,2017,Standard Class,Papua,Central,Office Supplies,Appliances,840,2619100
2015-09-12,September,2015,Standard Class,Sulawesi,West,Office Supplies,Storage,680,241900
2014-10-28,Oktober,2014,Standard Class,Kalimantan,East,Furniture,Furnishings,100,155000
2016-12-09,Desember,2016,Standard Class,Jawa,Central,Technology,Phones,390,1245700
2016-12-09,Desember,2016,Standard Class,Sumatra,Central,Technology,Phones,150,72000
2016-12-09,Desember,2016,Standard Class,Bali,Central,Furniture,Chairs,1960,7026700
2016-12-09,Desember,2016,Standard Class,Papua,Central,Office Supplies,Binders,180,967600
2016-03-16,Maret,2016,First Class,Sulawesi,West,Office Supplies,Appliances,160,213200
2016-03-16,Maret,2016,First Class,Kalimantan,West,Technology,Phones,210,182900
2015-06-02,Juni,2015,First Class,Papua,West,Office Supplies,Paper,60,315300
2015-06-02,Juni,2015,First Class,Sulawesi,West,Office Supplies,Paper,110,582500
2015-06-02,Juni,2015,First Class,Kalimantan,West,Office Supplies,Storage,90,252400
2015-06-03,Juni,2015,Standard Class,Jawa,West,Office Supplies,Art,10,21500
2014-03-06,Maret,2014,Second Class,Sumatra,West,Furniture,Chairs,460,617800
2016-11-24,November,2016,Standard Class,Bali,Central,Office Supplies,Labels,20,82500
2016-11-24,November,2016,Standard Class,Papua,Central,Technology,Phones,950,2834800
2016-05-12,Mei,2016,First Class,Sulawesi,West,Office Supplies,Paper,10,32300
2015-12-31,Desember,2015,Second Class,Kalimantan,East,Technology,Accessories,60,16400
2016-11-20,November,2016,Standard Class,Kalimantan,West,Office Supplies,Envelopes,30,160200
2016-11-11,November,2016,Standard Class,Jawa,West,Office Supplies,Binders,30,116300
2014-09-12,September,2014,Standard Class,Sumatra,Central,Office Supplies,Art,10,32800
2014-09-12,September,2014,Standard Class,Bali,Central,Office Supplies,Art,40,81800
2014-09-12,September,2014,Standard Class,Papua,Central,Technology,Phones,150,108000
2014-08-09,Agustus,2014,Standard Class,Sulawesi,West,Office Supplies,Paper,30,118200
2014-08-09,Agustus,2014,Standard Class,Kalimantan,West,Office Supplies,Paper,120,639200
2014-08-09,Agustus,2014,Standard Class,Jawa,West,Furniture,Chairs,350,255200
2014-09-19,September,2014,Standard Class,Sumatra,Central,Office Supplies,Labels,30,78700
2015-12-19,Desember,2015,Standard Class,Bali,East,Office Supplies,Art,10,17000
2014-12-09,Desember,2014,Second Class,Papua,Central,Office Supplies,Storage,30,22400
2014-12-09,Desember,2014,Second Class,Sulawesi,Central,Technology,Accessories,410,919700
2014-11-24,November,2014,Second Class,Kalimantan,South,Technology,Phones,510,1572400
2014-11-24,November,2014,Second Class,Jawa,South,Technology,Phones,150,503900
2014-11-24,November,2014,Second Class,Sumatra,South,Technology,Accessories,30,87000
2016-12-02,Desember,2016,Standard Class,Bali,East,Office Supplies,Binders,10,41300
2014-08-30,Agustus,2014,Standard Class,Papua,West,Technology,Accessories,180,275900
2016-07-22,Juli,2016,Standard Class,Sulawesi,Central,Office Supplies,Storage,40,44700
2016-07-22,Juli,2016,Standard Class,Kalimantan,Central,Office Supplies,Paper,30,75100
2015-10-14,Oktober,2015,First Class,Papua,East,Furniture,Bookcases,900,1348800
2015-10-14,Oktober,2015,First Class,Sulawesi,East,Technology,Phones,80,241200
2015-10-14,Oktober,2015,First Class,Kalimantan,East,Office Supplies,Paper,60,298600
2015-10-14,Oktober,2015,First Class,Jawa,East,Furniture,Bookcases,630,563800
2015-10-14,Oktober,2015,First Class,Sumatra,East,Office Supplies,Art,20,78900
2015-11-06,November,2015,Standard Class,Bali,West,Office Supplies,Envelopes,20,80600
2014-03-25,Maret,2014,Standard Class,Papua,East,Office Supplies,Art,10,14500
2014-03-25,Maret,2014,Standard Class,Sulawesi,East,Office Supplies,Art,10,19100
2017-11-13,November,2017,Standard Class,Kalimantan,East,Office Supplies,Storage,50,144400
2017-07-13,Juli,2017,Standard Class,Kalimantan,East,Office Supplies,Paper,20,69900
2017-06-29,Juni,2017,Standard Class,Jawa,East,Office Supplies,Paper,30,81600
2014-08-05,Agustus,2014,First Class,Sumatra,West,Office Supplies,Appliances,10,3600
2017-06-07,Juni,2017,Standard Class,Bali,South,Furniture,Furnishings,40,116100
2017-12-14,Desember,2017,Standard Class,Papua,West,Technology,Phones,450,533800
2017-12-07,Desember,2017,Standard Class,Sulawesi,Central,Office Supplies,Storage,90,70500
2017-12-07,Desember,2017,Standard Class,Kalimantan,Central,Technology,Phones,140,427700
2017-12-07,Desember,2017,Standard Class,Jawa,Central,Office Supplies,Binders,20,89800
2017-12-07,Desember,2017,Standard Class,Sumatra,Central,Office Supplies,Fasteners,60,194600
2017-12-07,Desember,2017,Standard Class,Bali,Central,Office Supplies,Storage,100,44200
2015-02-13,Februari,2015,Second Class,Papua,Central,Technology,Accessories,30,78000
2015-01-09,Januari,2015,Standard Class,Sulawesi,East,Office Supplies,Labels,30,106600
2015-01-09,Januari,2015,Standard Class,Kalimantan,East,Technology,Accessories,90,53800
2016-11-01,November,2016,Standard Class,Jawa,West,Office Supplies,Storage,100,312700
2016-11-01,November,2016,Standard Class,Sumatra,West,Technology,Phones,310,272200
2015-12-27,Desember,2015,First Class,Bali,East,Office Supplies,Fasteners,10,21800
2015-12-27,Desember,2015,First Class,Papua,East,Office Supplies,Paper,30,98800
2015-12-27,Desember,2015,First Class,Sulawesi,East,Furniture,Furnishings,80,229100
2015-12-27,Desember,2015,First Class,Kalimantan,East,Office Supplies,Art,30,32700
2015-08-16,Agustus,2015,Standard Class,Papua,Central,Office Supplies,Art,10,11700
2015-08-16,Agustus,2015,Standard Class,Sulawesi,Central,Furniture,Tables,630,1643300
2015-08-16,Agustus,2015,Standard Class,Kalimantan,Central,Office Supplies,Storage,30,2700
2015-03-04,Maret,2015,Standard Class,Jawa,South,Furniture,Chairs,390,526100
2017-04-12,April,2017,Standard Class,Sumatra,South,Furniture,Furnishings,260,0
2017-11-16,November,2017,Standard Class,Bali,West,Office Supplies,Paper,20,57100
2016-06-09,Juni,2016,Second Class,Papua,Central,Office Supplies,Paper,30,112800
2016-06-09,Juni,2016,Second Class,Sulawesi,Central,Technology,Phones,40,134400
2016-06-09,Juni,2016,Second Class,Kalimantan,Central,Office Supplies,Art,10,14500
2014-06-06,Juni,2014,Second Class,Kalimantan,Central,Furniture,Chairs,2010,6966500
2014-06-06,Juni,2014,Second Class,Jawa,Central,Office Supplies,Storage,170,500200
2014-06-06,Juni,2014,Second Class,Sumatra,Central,Office Supplies,Paper,50,287300
2014-06-06,Juni,2014,Second Class,Bali,Central,Office Supplies,Appliances,1510,5952900
2014-06-06,Juni,2014,Second Class,Papua,Central,Office Supplies,Paper,30,149300
2016-12-15,Desember,2016,Second Class,Sulawesi,West,Furniture,Chairs,330,337700
2016-09-17,September,2016,Standard Class,Kalimantan,West,Office Supplies,Paper,10,43000
2016-09-17,September,2016,Standard Class,Jawa,West,Technology,Accessories,3350,7632100
2016-12-13,Desember,2016,First Class,Sumatra,East,Office Supplies,Storage,90,270800
2016-12-13,Desember,2016,First Class,Bali,East,Office Supplies,Envelopes,370,1954400
2015-12-04,Desember,2015,Standard Class,Papua,Central,Office Supplies,Storage,60,48600
2015-12-04,Desember,2015,Standard Class,Sulawesi,Central,Technology,Phones,650,680300
2017-12-03,Desember,2017,Second Class,Kalimantan,East,Technology,Accessories,30,83200
2017-12-03,Desember,2017,Second Class,Jawa,East,Office Supplies,Storage,230,79800
2017-12-03,Desember,2017,Second Class,Sumatra,East,Office Supplies,Binders,20,73600
2016-06-13,Juni,2016,Standard Class,Bali,Central,Technology,Phones,330,344700
2015-11-15,November,2015,Standard Class,Papua,West,Technology,Accessories,80,421900
2017-06-20,Juni,2017,Standard Class,Sulawesi,South,Office Supplies,Art,20,56800
2016-01-28,Januari,2016,Standard Class,Kalimantan,East,Office Supplies,Fasteners,10,3700
2017-12-13,Desember,2017,Standard Class,Papua,East,Office Supplies,Envelopes,60,259100
2015-07-31,Juli,2015,First Class,Sulawesi,West,Technology,Accessories,210,1108500
2015-07-31,Juli,2015,First Class,Kalimantan,West,Furniture,Furnishings,10,27900
2015-07-31,Juli,2015,First Class,Jawa,West,Office Supplies,Binders,20,49200
2017-09-17,September,2017,First Class,Sumatra,West,Office Supplies,Paper,10,48700
2017-09-17,September,2017,First Class,Bali,West,Office Supplies,Art,10,18700
2017-10-17,Oktober,2017,Standard Class,Papua,East,Office Supplies,Paper,20,49000
2017-10-17,Oktober,2017,Standard Class,Sulawesi,East,Office Supplies,Paper,20,70900
2017-10-17,Oktober,2017,Standard Class,Kalimantan,East,Office Supplies,Storage,60,71700
2017-10-17,Oktober,2017,Standard Class,Kalimantan,East,Office Supplies,Labels,30,104400
2015-09-28,September,2015,Second Class,Jawa,Central,Technology,Phones,1120,4513400
2015-11-06,November,2015,Standard Class,Sumatra,West,Furniture,Tables,1040,623400
2015-10-02,Oktober,2015,Standard Class,Bali,West,Office Supplies,Paper,150,574200
2015-10-02,Oktober,2015,Standard Class,Papua,West,Technology,Accessories,240,575600
2015-10-02,Oktober,2015,Standard Class,Sulawesi,West,Office Supplies,Paper,40,130700
2016-12-20,Desember,2016,Second Class,Kalimantan,South,Office Supplies,Appliances,200,291800
2016-11-24,November,2016,Second Class,Jawa,East,Office Supplies,Fasteners,20,80300
2016-11-24,November,2016,Second Class,Sumatra,East,Office Supplies,Labels,20,75000
2016-11-24,November,2016,Second Class,Bali,East,Technology,Accessories,260,652800
2014-12-28,Desember,2014,First Class,Papua,West,Furniture,Furnishings,310,946400
2014-12-28,Desember,2014,First Class,Sulawesi,West,Furniture,Chairs,240,241900
2014-12-28,Desember,2014,First Class,Kalimantan,West,Office Supplies,Fasteners,30,111600
2016-11-03,November,2016,Standard Class,Jawa,East,Office Supplies,Paper,40,186700
2016-11-03,November,2016,Standard Class,Sumatra,East,Office Supplies,Storage,1090,129900
2016-11-03,November,2016,Standard Class,Bali,East,Office Supplies,Paper,60,327900
2016-11-03,November,2016,Standard Class,Papua,East,Furniture,Furnishings,80,456300
2016-11-03,November,2016,Standard Class,Sulawesi,East,Office Supplies,Binders,20,78900
2015-05-09,Mei,2015,Second Class,Kalimantan,East,Furniture,Furnishings,30,154400
2015-01-04,Januari,2015,Standard Class,Papua,Central,Office Supplies,Art,10,34300
2014-06-06,Juni,2014,Standard Class,Sulawesi,East,Office Supplies,Binders,50,251100
2014-06-06,Juni,2014,Standard Class,Kalimantan,East,Office Supplies,Art,290,1006500
2017-04-17,April,2017,First Class,Jawa,South,Office Supplies,Art,10,24100
2016-09-14,September,2016,Second Class,Sumatra,West,Furniture,Furnishings,20,43200
2016-09-14,September,2016,Second Class,Bali,West,Furniture,Chairs,470,630200
2016-09-14,September,2016,Second Class,Papua,West,Furniture,Furnishings,20,20600
2016-09-14,September,2016,Second Class,Sulawesi,West,Office Supplies,Labels,10,24500
2014-10-03,Oktober,2014,Standard Class,Kalimantan,East,Furniture,Furnishings,90,451800
2014-08-16,Agustus,2014,Standard Class,Kalimantan,South,Technology,Phones,180,267600
2014-08-16,Agustus,2014,Standard Class,Jawa,South,Office Supplies,Paper,20,65400
2014-12-30,Desember,2014,First Class,Sumatra,East,Office Supplies,Art,100,104100
2014-11-09,November,2014,Standard Class,Bali,East,Furniture,Chairs,140,289900
2014-11-09,November,2014,Standard Class,Papua,East,Technology,Machines,4000,23951900
2014-11-09,November,2014,Standard Class,Sulawesi,East,Technology,Phones,280,960300
2014-11-09,November,2014,Standard Class,Kalimantan,East,Technology,Accessories,360,1555200
2014-11-09,November,2014,Standard Class,Jawa,East,Office Supplies,Storage,50,156900
2014-09-24,September,2014,Standard Class,Sumatra,West,Office Supplies,Fasteners,10,43000
2016-04-27,April,2016,Standard Class,Bali,West,Office Supplies,Binders,260,981000
2016-04-27,April,2016,Standard Class,Papua,West,Technology,Accessories,100,420000
2017-11-05,November,2017,Second Class,Sulawesi,South,Furniture,Furnishings,20,12000
2016-09-01,September,2016,First Class,Kalimantan,East,Office Supplies,Storage,60,40700
2016-09-01,September,2016,First Class,Jawa,East,Office Supplies,Labels,110,406000
2015-09-04,September,2015,Second Class,Sumatra,West,Office Supplies,Binders,10,19300
2015-09-04,September,2015,Second Class,Bali,West,Technology,Copiers,960,4032000
2015-09-04,September,2015,Second Class,Papua,West,Office Supplies,Binders,20,53900
2014-07-17,Juli,2014,Standard Class,Sulawesi,West,Office Supplies,Binders,10,33600
2015-06-26,Juni,2015,Second Class,Kalimantan,West,Office Supplies,Fasteners,10,28000
2014-04-17,April,2014,Second Class,Papua,East,Office Supplies,Art,20,13400
2014-04-17,April,2014,Second Class,Sulawesi,East,Office Supplies,Fasteners,40,120900
2014-04-17,April,2014,Second Class,Kalimantan,East,Technology,Phones,80,100700
2017-06-19,Juni,2017,Standard Class,Jawa,West,Technology,Phones,50,57600
2017-07-12,Juli,2017,Standard Class,Sumatra,East,Office Supplies,Art,10,37200
2017-07-12,Juli,2017,Standard Class,Bali,East,Office Supplies,Paper,30,138600
2017-07-12,Juli,2017,Standard Class,Papua,East,Office Supplies,Art,20,49800
2016-09-03,September,2016,First Class,Sulawesi,East,Technology,Accessories,10,27800
2016-09-03,September,2016,First Class,Kalimantan,East,Office Supplies,Paper,30,138600
2016-09-03,September,2016,First Class,Kalimantan,East,Office Supplies,Binders,10,12900
2016-09-03,September,2016,First Class,Jawa,East,Office Supplies,Paper,50,277100
2016-09-03,September,2016,First Class,Sumatra,East,Office Supplies,Binders,4360,16985200
2016-04-13,April,2016,Standard Class,Bali,East,Office Supplies,Envelopes,10,45600
2016-04-13,April,2016,Standard Class,Papua,East,Office Supplies,Art,20,83900
2016-04-13,April,2016,Standard Class,Sulawesi,East,Office Supplies,Paper,40,189900
2016-04-28,April,2016,Standard Class,Kalimantan,South,Office Supplies,Paper,40,135900
2017-03-11,Maret,2017,First Class,Jawa,South,Office Supplies,Appliances,650,2021300
2017-03-11,Maret,2017,First Class,Sumatra,South,Office Supplies,Labels,30,119300
2017-10-01,Oktober,2017,Standard Class,Bali,East,Office Supplies,Labels,30,119300
2017-10-01,Oktober,2017,Standard Class,Papua,East,Furniture,Chairs,490,1042500
2017-10-01,Oktober,2017,Standard Class,Sulawesi,East,Office Supplies,Art,10,17400
2017-10-01,Oktober,2017,Standard Class,Kalimantan,East,Furniture,Furnishings,50,248800
2014-09-29,September,2014,Standard Class,Jawa,West,Office Supplies,Storage,220,101800
2016-10-21,Oktober,2016,Same Day,Sumatra,East,Office Supplies,Binders,30,125300
2016-10-21,Oktober,2016,Same Day,Bali,East,Office Supplies,Supplies,10,1800
2016-10-21,Oktober,2016,Same Day,Papua,East,Office Supplies,Storage,110,352100
2016-10-21,Oktober,2016,Same Day,Sulawesi,East,Furniture,Bookcases,1050,3257100
2017-06-04,Juni,2017,Standard Class,Kalimantan,Central,Office Supplies,Paper,30,112800
2017-06-04,Juni,2017,Standard Class,Papua,Central,Office Supplies,Storage,60,56100
2014-07-27,Juli,2014,Standard Class,Sulawesi,West,Technology,Accessories,1030,2150300
2014-07-27,Juli,2014,Standard Class,Kalimantan,West,Office Supplies,Art,10,11100
2016-10-01,Oktober,2016,First Class,Jawa,Central,Office Supplies,Paper,100,371800
2015-05-05,Mei,2015,Standard Class,Sumatra,Central,Office Supplies,Storage,30,32200
2016-10-29,Oktober,2016,First Class,Bali,West,Office Supplies,Paper,60,305800
2016-10-29,Oktober,2016,First Class,Papua,West,Office Supplies,Binders,50,208100
2015-06-29,Juni,2015,Second Class,Sulawesi,Central,Technology,Accessories,50,105600
2015-12-07,Desember,2015,Standard Class,Kalimantan,East,Furniture,Furnishings,10,9400
2014-11-26,November,2014,First Class,Kalimantan,East,Office Supplies,Art,10,5200
2017-12-15,Desember,2017,Standard Class,Jawa,East,Office Supplies,Binders,30,94700
2017-12-15,Desember,2017,Standard Class,Sumatra,East,Technology,Accessories,40,163200
2014-09-23,September,2014,Second Class,Bali,West,Technology,Phones,250,332700
2014-09-23,September,2014,Second Class,Papua,West,Technology,Copiers,1800,8423900
2017-07-05,Juli,2017,Standard Class,Sulawesi,West,Office Supplies,Binders,80,307000
2017-10-19,Oktober,2017,Second Class,Kalimantan,East,Office Supplies,Storage,50,114000
2017-10-19,Oktober,2017,Second Class,Jawa,East,Office Supplies,Paper,20,74700
2015-11-04,November,2015,Standard Class,Sumatra,Central,Office Supplies,Supplies,80,252500
2016-09-10,September,2016,Second Class,Bali,Central,Office Supplies,Storage,40,43200
2016-09-10,September,2016,Second Class,Papua,Central,Technology,Accessories,60,8700
2014-12-26,Desember,2014,First Class,Sulawesi,South,Office Supplies,Paper,10,41700
2014-04-20,April,2014,Standard Class,Kalimantan,South,Office Supplies,Art,40,117300
2017-12-29,Desember,2017,Standard Class,Jawa,East,Office Supplies,Appliances,40,116400
2017-12-12,Desember,2017,Standard Class,Sumatra,West,Technology,Accessories,180,453500
2017-12-12,Desember,2017,Standard Class,Bali,West,Technology,Copiers,1200,5219900
2017-12-12,Desember,2017,Standard Class,Papua,West,Office Supplies,Paper,30,159700
2017-12-12,Desember,2017,Standard Class,Sulawesi,West,Office Supplies,Paper,10,55800
2017-12-12,Desember,2017,Standard Class,Kalimantan,West,Office Supplies,Labels,30,163300
2017-12-12,Desember,2017,Standard Class,Papua,West,Office Supplies,Paper,60,329200
2017-12-12,Desember,2017,Standard Class,Sulawesi,West,Furniture,Bookcases,1340,377500
2017-11-07,November,2017,Standard Class,Kalimantan,West,Office Supplies,Paper,140,788900
2017-11-07,November,2017,Standard Class,Jawa,West,Furniture,Chairs,310,322500
2017-06-28,Juni,2017,Standard Class,Sumatra,West,Office Supplies,Art,100,310800
2016-04-18,April,2016,Standard Class,Bali,West,Furniture,Chairs,390,460600
2017-11-10,November,2017,Standard Class,Papua,South,Office Supplies,Paper,10,34000
2017-03-09,Maret,2017,Standard Class,Sulawesi,West,Office Supplies,Art,10,32500
